Rank,Repository,Language,Stars
1,twbs/bootstrap,JavaScript,62111
2,jquery/jquery,JavaScript,27082
3,joyent/node,JavaScript,26352
4,h5bp/html5-boilerplate,CSS,23355
5,mbostock/d3,JavaScript,20715
6,rails/rails,Ruby,20284
7,FortAwesome/Font-Awesome,CSS,19506
8,bartaz/impress.js,JavaScript,18637
9,angular/angular.js,JavaScript,17994
10,jashkenas/backbone,JavaScript,16502
11,Homebrew/homebrew,Ruby,15065
12,zurb/foundation,JavaScript,14944
13,blueimp/jQuery-File-Upload,JavaScript,14312
14,harvesthq/chosen,JavaScript,14232
15,mrdoob/three.js,JavaScript,13686
16,vhf/free-programming-books,,13658
17,adobe/brackets,JavaScript,13557
18,robbyrussell/oh-my-zsh,Shell,13337
19,jekyll/jekyll,Ruby,13283
20,github/gitignore,,13128
